ID,Stock_short,Stock_long,adios_file_name
1,GBYT,Georges Bank yellowtail flounder,ADIOS_SV_172909_GBK_NONE_survey_dist_map_fixed.csv
2,GBcod,Georges Bank cod,ADIOS_SV_164712_GBK_NONE_survey_dist_map_fixed.csv
3,GBhaddock,Georges Bank haddock,ADIOS_SV_164744_GBK_NONE_survey_dist_map_fixed.csv
4,Fluke,Summer Flounder (fluke),ADIOS_SV_172735_UNIT_NONE_survey_dist_map_fixed.csv
5,Herring,Atlantic sea herring,ADIOS_SV_161722_UNIT_NONE_survey_dist_map_fixed.csv
6,GOMcod,Gulf of Maine cod,ADIOS_SV_164712_GOM_NONE_survey_dist_map_fixed.csv
7,Nmonkfish,Northern monkfish,ADIOS_SV_164499_NORTH_NONE_survey_dist_map_fixed.csv
8,Smonkfish,Southern monkfish,ADIOS_SV_164499_SOUTH_NONE_survey_dist_map_fixed.csv
9,Pollock,Pollock,ADIOS_SV_164727_UNIT_NONE_survey_dist_map_fixed.csv
10,Nredhake,Northern red hake,ADIOS_SV_164730_NORTH_NONE_survey_dist_map_fixed.csv
11,Sredhake,Southern red hake,ADIOS_SV_164730_SOUTH_NONE_survey_dist_map_fixed.csv
12,Whitehake,White hake,ADIOS_SV_164732_UNIT_NONE_survey_dist_map_fixed.csv
13,GOMhaddock,Gulf of Maine haddock,ADIOS_SV_164744_GOM_NONE_survey_dist_map_fixed.csv
14,Nsilverhake,Northern silver hake,ADIOS_SV_164791_NORTH_NONE_survey_dist_map_fixed.csv
15,Ssilverhake,Southern silver hake,ADIOS_SV_164791_SOUTH_NONE_survey_dist_map_fixed.csv
16,Redfish,Redfish,ADIOS_SV_166774_UNIT_NONE_survey_dist_map_fixed.csv
17,BlackSeaBass,Black sea bass,ADIOS_SV_167687_UNIT_NONE_survey_dist_map_fixed.csv
18,Scup,Scup,ADIOS_SV_169182_UNIT_NONE_survey_dist_map_fixed.csv
19,Mackerel,Atlantic mackerel,ADIOS_SV_172414_UNIT_NONE_survey_dist_map_fixed.csv
20,Butterfish,Butterfish,ADIOS_SV_172567_UNIT_NONE_survey_dist_map_fixed.csv
21,Nwindow,Northern windowpane flounder,ADIOS_SV_172746_GBGOM_NONE_survey_dist_map_fixed.csv
22,Swindow,Southern windowpane flounder,ADIOS_SV_172746_SNEMA_NONE_survey_dist_map_fixed.csv
23,Witch,Witch flounder,ADIOS_SV_172873_UNIT_NONE_survey_dist_map_fixed.csv
24,Plaice,American plaice,ADIOS_SV_172877_UNIT_NONE_survey_dist_map_fixed.csv
25,GBwinter,Georges Bank winter flounder,ADIOS_SV_172905_GBK_NONE_survey_dist_map_fixed.csv
26,GOMwinter,Gulf of Maine winter flounder,ADIOS_SV_172905_GOM_NONE_survey_dist_map_fixed.csv
27,SNEwinter,Southern New England winter flounder,ADIOS_SV_172905_SNEMA_NONE_survey_dist_map_fixed.csv
28,CCGOMYT,Cape Cod Gulf of Maine yellowtail flounder,ADIOS_SV_172909_CCGOM_NONE_survey_dist_map_fixed.csv
29,SNEMAYT,Southern New England yellowtail flounder,ADIOS_SV_172909_SNEMA_NONE_survey_dist_map_fixed.csv
30,Littleskate,Little skate,ADIOS_SV_564130_UNIT_NONE_survey_dist_map_fixed.csv
31,Barndoor,Barndoor skate,ADIOS_SV_564139_UNIT_NONE_survey_dist_map_fixed.csv
32,Winterskate,Winter skate,ADIOS_SV_564145_UNIT_NONE_survey_dist_map_fixed.csv
33,Fspiny,Female spiny dogfish,ADIOS_SV_160617_UNIT_FEMALE_survey_dist_map_fixed.csv
34,Mspiny,Male spiny dogfish,ADIOS_SV_160617_UNIT_MALE_survey_dist_map_fixed.csv
35,Smoothskate,Smooth skate,ADIOS_SV_564151_UNIT_NONE_survey_dist_map_fixed.csv
