"Season","Year","DoorFill","GlobalFill","Measured","Stations","sumcheck"
"Fall","2009",4,5,311,320,0
"Fall","2010",0,14,307,321,0
"Fall","2011",0,73,240,313,0
"Fall","2012",0,33,315,348,0
"Fall","2013",28,19,302,349,0
"Fall","2014",1,0,344,345,0
"Fall","2015",0,0,353,353,0
"Fall","2016",2,1,356,359,0
"Fall","2017",0,2,126,128,0
"Spring","2009",15,4,327,346,0
"Spring","2010",0,17,339,356,0
"Spring","2011",0,43,284,327,0
"Spring","2012",0,41,309,350,0
"Spring","2013",0,43,320,363,0
"Spring","2014",103,0,182,285,0
"Spring","2015",0,0,354,354,0
"Spring","2016",3,1,337,341,0
"Spring","2017",52,0,287,339,0
"Both","All",208,296,5393,5897,0
